hospital_id,hospital_fns_id,region_id,hospital_name,hospital_alternative_name,latitud,longitud,complejidad
101100,103,15,Hospital Dr. Juan NoÃ© Crevanni (Arica),Hospital Doctor Juan NoÃ©,-18.4827,-70.3126,Alta
102100,203,1,Hospital Dr. Ernesto Torres Galdames (Iquique),Hospital Iquique,-20.2139,-70.1383,Alta
103100,303,2,Hospital Dr. Leonardo GuzmÃ¡n (Antofagasta),Hospital de Antofagasta,-23.6597,-70.3959,Alta
103101,304,2,Hospital Dr. Carlos Cisternas (Calama),Hospital de Calama,-22445,-68.9181,Alta
103102,305,2,Hospital Dr. Marcos Macuada (Tocopilla),Hospital de Tocopilla,-22.0882,-70.1929,Baja
103103,306,2,Hospital 21 de Mayo (Taltal),Hospital de Taltal,-25.4036,-70.4869,Baja
103104,307,2,Hospital de Mejillones,Hospital de Mejillones,-23.0931,-70.4575,Baja
104100,403,3,Hospital San JosÃ© del Carmen (CopiapÃ³),Hospital Regional de CopiapÃ³,-27.3668,-70.3417,Alta
104101,404,3,Hospital Dr. JerÃ³nimo MÃ©ndez Arancibia (ChaÃ±aral),Hospital de ChaÃ±aral,-26.3442,-70.6071,Baja
104103,406,3,Hospital Provincial del Huasco MonseÃ±or Fernando AriztÃ­a Ruiz (Vallenar),Hospital de Vallenar,-28.5765,-70.3578,Mediana
104104,407,3,Hospital Dr. Manuel Magalhaes Medling (Huasco),Hospital de Huasco,-28.4568,-70.2929,Baja
105100,503,4,Hospital San Juan de Dios (La Serena),Hospital La Serena,-29.9065,-70.2432,Alta
105101,504,4,Hospital San Pablo (Coquimbo),Hospital Coquimbo,-30.0168,-71.2544,Alta
105102,505,4,Hospital Dr. Antonio Tirado Lanas (Ovalle),Hospital Ovalle,-30.5991,-71.2124,Alta
105103,506,4,Hospital Dr. Humberto Elorza CortÃ©s (Illapel),Hospital Illapel,-31.6277,-71.3682,Mediana
105104,507,4,Hospital de Salamanca,Hospital Salamanca,-31.6344,-71.3425,Baja
105105,508,4,Hospital San Juan de Dios (CombarbalÃ¡),Hospital CombarbalÃ¡,-31.2125,-71.2355,Baja
105106,509,4,Hospital Dr. JosÃ© ArraÃ±o (Andacollo),Hospital de Andacollo,-29.9047,-71.5976,Baja
105107,5010,4,Hospital San Juan de Dios (VicuÃ±a),Hospital VicuÃ±a,-30.0309,-70.7087,Baja
105108,5011,4,Hospital San Pedro (Los Vilos),Hospital Los Vilos,-31.9075,-71.5144,Baja
106100,603,5,Hospital Carlos Van Buren (ValparaÃ­so),Hospital Carlos Van Buren,-33.0458,-71.6229,Alta
106103,604,5,Hospital Claudio VicuÃ±a ( San Antonio),Hospital Claudio VicuÃ±a,-33.5996,-71.5598,Alta
106104,605,5,Hospital Del Salvador (ValparaÃ­so),Hospital Del Salvador,-33.0472,-71.3567,Mediana
106105,606,5,Hospital San JosÃ© (Casablanca),Hospital San JosÃ© Casablanca,-33.3205,-71.4102,Baja
106102,607,5,Hospital Dr. Eduardo Pereira RamÃ­rez (ValparaÃ­so),Hospital Doctor Eduardo Pereira,-33.0384,-71.6264,Alta
107100,703,5,Hospital Dr. Gustavo Fricke (ViÃ±a del Mar),Hospital Doctor Gustavo Fricke,-33.0214,-71.5537,Alta
107101,704,5,Hospital San MartÃ­n (Quillota),Hospital de Quillota,-32.8833,-71.2482,Baja
107102,705,5,Hospital de QuilpuÃ©,Hospital de QuilpuÃ©,-33.0458,-71.4457,Alta
107103,706,5,Hospital Dr. Mario SÃ¡nchez Vergara (La Calera),Hospital de La Calera,-32.7875,-71.2035,Baja
107110,707,5,Hospital Centro GeriÃ¡trico Paz de la Tarde (Limache),Hospital GeriÃ¡trico Paz de la Tarde,-33.0098,-71.2544,Baja
107104,708,5,Hospital Santo TomÃ¡s (Limache),Hospital de Limache,-33.0103,-71.2549,Baja
107105,709,5,Hospital San AgustÃ­n (La Ligua),Hospital de La Ligua,-32.4478,-71.2316,Baja
107106,7010,5,Hospital Dr. VÃ­ctor Hugo Moll (Cabildo),Hospital Cabildo,-32.4285,-71.0639,Baja
107107,7011,5,Hospital de Petorca,Hospital Petorca,-32.2594,-70.9392,Baja
107108,7012,5,Hospital Adriana CousiÃ±o (Quintero),Hospital de Quintero,-32.7844,-71.5269,Baja
107109,7013,5,Hospital Juana Ross de Edwards (PeÃ±ablanca - Villa Alemana),Hospital PeÃ±ablanca,-33.0424,-71.3724,Baja
108100,803,5,Hospital de San Camilo (San Felipe),Hospital San Camilo de San Felipe,-32.7521,-70.7254,Alta
108101,804,5,Hospital San Juan de Dios (Los Andes),Hospital San Juan de Dios de Los Andes,-32.8325,-70.5984,Alta
108102,805,5,Hospital San Francisco (Llaillay),Hospital San Francisco de Llay Llay,-32.8377,-70.9502,Baja
108104,806,5,Hospital San Antonio (Putaendo),Hospital San Antonio de  Putaendo,-32.6214,-70.7253,Baja
108105,807,5,Hospital PsiquiÃ¡trico Dr. Philippe Pinel (Putaendo),Hospital PsiquiÃ¡trico Doctor  Philippe Pinel de Putaendo,-32.6212,-70.7263,Mediana
115100,903,6,Hospital Regional de Rancagua,Hospital Rancagua,-34.1713,-70.7449,Alta
115101,904,6,Hospital Santa Filomena (Graneros),Hospital Graneros,-34.0667,-70.7264,Baja
115102,905,6,Hospital de CoÃ­nco,Hospital CoÃ­nco,-34.2667,-70.9933,Baja
115103,906,6,Hospital Del Salvador (Peumo),Hospital Peumo,-34.3903,-71.2542,Baja
115104,907,6,Hospital Dr. Ricardo Valenzuela SÃ¡ez (Rengo),Hospital de Rengo,-34.4065,-70.8587,Mediana
115105,908,6,Hospital San Vicente de Tagua-Tagua,Hospital San Vicente,-34.4487,-70.9682,Baja
115106,909,6,Hospital de Pichidegua,Hospital Pichidegua,-34.2998,-71.2786,Baja
115107,9010,6,Hospital San Juan de Dios (San Fernando),Hospital San Fernando,-34.5817,-70.9899,Alta
115108,9011,6,Hospital Mercedes (Chimbarongo),Hospital Chimbarongo,-34.7239,-71.0394,Baja
115109,9012,6,Hospital de Nancagua,Hospital Nancagua,-34.7012,-71.1288,Baja
115110,9013,6,Hospital de Santa Cruz,Hospital Santa Cruz,-34.6364,-71.3657,Mediana
115111,9014,6,Hospital de MarchigÃ¼e,Hospital Marchigue,-34.4231,-71.5873,Baja
115112,9015,6,Hospital de Pichilemu,Hospital Pichilemu,-34.3869,-72.0095,Baja
115113,9016,6,Hospital de Lolol,Hospital de Lolol,-34.7589,-71.6721,Baja
115114,9017,6,Hospital de Litueche,Hospital de Litueche,-34.1344,-71.6822,Baja
116100,1003,7,Hospital San Juan de Dios (CuricÃ³),Hospital CuricÃ³,-34.9824,-71.2433,Alta
116101,1004,7,Hospital de Teno,Hospital de Teno,-34.8749,-71.1676,Baja
116102,1005,7,Hospital de Molina,Hospital Molina,-35.1155,-71.2826,Baja
116103,1006,7,Hospital de HualaÃ±Ã©,Hospital Hualane,-34.9768,-71.7986,Baja
116104,1007,7,Hospital de LicantÃ©n,Hospital LicantÃ©n,-34.9983,-71.8771,Baja
116105,1008,7,Hospital Dr. CÃ©sar Garavagno Burotto (Talca),Hospital Talca,-35.4232,-71.6485,Alta
116106,1009,7,Hospital de Curepto,Hospital Curepto,-35.0834,-72.0038,Baja
116107,10010,7,Hospital de ConstituciÃ³n,Hospital ConstituciÃ³n,-35.3329,-72.4162,Mediana
116108,10011,7,Hospital Presidente Carlos IbÃ¡Ã±ez del Campo (Linares),Hospital Linares,-35.8487,-71.5901,Alta
116109,10012,7,Hospital Dr. Abel Fuentealba Lagos de San Javier,Hospital San Javier,-35.5911,-71.7362,Mediana
116110,10013,7,Hospital San JosÃ© (Parral),Hospital Parral,-36.1438,-71.8369,Mediana
116111,10014,7,Hospital San Juan de Dios (Cauquenes),Hospital Cauquenes,-35.9637,-72.3228,Mediana
116112,10015,7,Hospital Dr. BenjamÃ­n Pedreros (Chanco),Hospital Chanco,-35.7335,-72.5435,Baja
117101,1103,16,Hospital ClÃ­nico Herminda MartÃ­n (ChillÃ¡n),Hospital de ChillÃ¡n,-36.6063,-72.1024,Alta
117102,1104,16,Hospital de San Carlos,Hospital de San Carlos,-36.4267,-71.9592,Alta
117103,1105,16,Hospital Comunitario de Salud Familiar de Bulnes,Hospital de Bulnes,-36.7411,-72.2996,Baja
